Temp,Hum,Somg,Co,预测等级（0正常/1阴燃/2着火）
28,29,17.2,2.8,0
28,29,16,2.6,0
27,28,19.6,2.9,0
27,29,17.9,2.9,0
28,47,36.1,3.2,0
28,59,64.4,3.5,0
28,67,73.8,3.8,0
28,65,80.5,3.9,0
29,62,70.1,5.1,0
29,64,59.4,5.1,0
29,61,55.2,5,0
29,57,45.1,4.9,0
29,56,44.9,4.8,0
29,55,41.9,4.7,0
29,53,38.8,4.6,0
29,51,39.4,4.6,0
29,50,34.5,4.4,0
29,48,33,4.4,0
29,49,32.2,4.3,0
29,48,31.9,4.2,0
29,48,31.2,4.2,0
29,48,31.8,4.1,0
29,46,29.3,4,0
29,45,28.7,3.6,0
29,45,27.2,3.8,0
29,44,24.9,3.4,0
29,44,28.8,3.3,0
29,43,28,3.3,0
29,43,27.6,3.5,0
29,43,26.2,3.5,0
29,43,27.1,3.6,0
29,42,27,3.8,0
29,41,24.4,3.7,0
29,40,24.7,3.7,0
29,40,23.9,3.7,0
29,39,22.9,3.7,0
29,38,22.6,3.6,0
29,38,22,3.7,0
29,39,22.4,3.7,0
29,37,20.7,3.6,0
29,36,20.6,3.4,0
29,36,21.9,3.5,0
28,34,21.1,3.5,0
29,35,20.4,3.5,0
29,35,20.4,3.4,0
28,34,19.9,3.4,0
29,34,19.6,3.3,0
28,33,20.3,3.3,0
29,34,19.9,3.3,0
29,34,19.2,3.3,0
28,33,19,3.3,0
29,34,19.4,3.3,0
28,33,19,3.2,0
28,32,19.1,3.2,0
28,32,18.8,3.2,0
28,32,18.8,3.2,0
28,32,18.8,3.2,0
29,33,18.4,3.2,0
28,32,17.3,3.1,0
28,31,19,3.2,0
28,31,19.3,3.1,0
28,32,19.1,3.1,0
28,32,19.1,3.1,0
29,34,18.1,2.9,0
28,33,23.6,2.5,0
28,31,21.8,2.5,0
28,30,18.9,2.6,0
28,29,17.2,2.7,0
29,30,16.3,2.7,0
28,28,16.2,3,0
28,29,15.9,3.1,0
28,29,16.1,3.2,0
28,29,15.9,3.2,0
28,29,15.2,3.1,0
28,30,17.2,3.3,0
28,29,16.2,3.7,0
28,30,15,3.8,0
28,31,16.7,3.7,0
28,31,18.4,3.5,0
28,30,18.6,3.5,0
28,30,19.5,3.4,0
28,30,19.9,3.3,0
28,31,19.4,3.3,0
28,31,19.5,3.2,0
28,28,16.7,3.1,0
28,26,14.8,3,0
28,26,15.3,3,0
28,28,17.2,3,0
28,27,16.1,2.9,0
28,27,15.7,2.9,0
27,26,17,2.9,0
27,28,17.5,2.9,0
27,29,18.5,2.9,0
27,30,18.4,2.8,0
27,30,19.7,2.9,0
27,30,20,3,0
27,30,19,2.9,0
27,30,19.7,2.9,0
27,30,18.4,2.9,0
27,30,18.2,2.9,0
28,30,17.6,2.8,0
27,28,17,2.8,0
27,29,17.5,2.8,0
25,29,16.2,2.7,0
25,29,14.8,2.6,0
25,29,14.6,2.6,0
24,29,14.4,2.6,0
25,29,14.1,2.6,0
25,29,14.2,2.5,0
25,30,14.1,2.5,0
25,30,13.9,2.5,0
25,29,14.7,2.6,0
24,29,13.8,2.5,0
25,29,13.8,2.5,0
24,30,13,2.4,0
24,31,13.6,2.4,0
24,30,14.4,2.5,0
24,30,13.8,2.5,0
24,30,14,2.4,0
24,31,14.1,2.4,0
24,31,13.5,2.4,0
24,31,13.5,2.4,0
24,31,13.6,2.4,0
24,32,13.3,2.4,0
24,31,14,2.5,0
24,32,13.3,2.5,0
23,31,13.3,2.4,0
22,32,2.6,2.5,0
22,32,2.8,2.5,0
22,32,2.9,2.4,0
22,31,2.8,2.5,0
22,31,3,2.7,0
22,32,3.4,2.7,0
22,33,3.6,2.7,0
22,33,3.7,2.7,0
22,33,3.9,2.7,0
22,36,3.8,2.7,0
22,35,4,2.7,0
22,34,4.1,2.7,0
22,32,4.2,2.7,0
22,32,4.2,2.7,0
22,31,4.3,2.7,0
22,31,4.4,2.7,0
22,31,4.4,2.7,0
22,31,4.5,2.6,0
22,31,4.6,2.6,0
22,31,4.6,2.6,0
22,31,4.7,2.6,0
22,31,4.7,2.6,0
22,32,8,2.7,0
22,31,8,2.7,0
22,31,7.9,2.7,0
22,31,8,2.7,0
22,31,7.9,2.7,0
22,31,7.9,2.7,0
22,31,8,2.7,0
22,32,8,2.7,0
22,32,7.8,2.7,0
22,32,7.8,2.7,0
22,32,7.8,2.7,0
22,31,7.7,2.7,0
23,50,2.7,2.4,0
23,49,5.1,2.6,0
23,49,7.3,2.7,0
23,49,9.5,2.8,0
23,49,11.4,2.9,0
23,49,13.2,2.9,0
23,49,14.6,2.9,0
23,49,15.9,3,0
23,49,17,3,0
23,49,18,3,0
23,48,18.9,3,0
23,48,19.7,3,0
23,48,20.3,3,0
23,48,20.9,3,0
23,49,21.4,3,0
23,48,23,3.1,0
23,48,23.3,3,0
23,48,23.4,3,0
23,48,23.4,3,0
23,48,23.8,3,0
23,48,24.1,3,0
23,48,24.3,3,0
23,48,24.3,3,0
24,48,24.5,3,0
23,48,24.6,3,0
23,47,24.7,3,0
24,47,24.8,3,0
24,47,24.9,3,0
24,47,24.9,3,0
24,47,25,3,0
24,47,24.9,3,0
24,47,25.1,3,0
28,43,35.9,3.6,0
28,45,36.2,3.6,0
28,44,36.4,3.6,0
28,43,36.6,3.6,0
28,43,36.6,3.6,0
28,43,36.5,3.5,0
28,43,36.3,3.5,0
28,42,36.3,3.5,0
28,42,36.3,3.5,0
28,41,18.4,6.1,0
28,41,18.3,6.1,0
28,41,18.1,6.1,0
28,41,18,6.1,0
28,42,17.8,6.1,0
29,43,17.8,6.1,0
29,46,54.4,11.2,0
29,46,62.1,12.1,0
29,46,63.3,11.1,0
29,46,63.7,10.3,0
29,45,63.8,9.9,0
29,44,64.5,9.5,0
29,44,63.2,8.8,0
29,44,62.8,8.2,0
29,43,63.3,7.9,0
29,43,62.5,7.5,0
29,43,61.7,7,0
29,43,60.4,6.7,0
29,42,60.6,6.5,0
29,42,60.2,6.3,0
29,42,60.8,6.1,0
29,42,61.6,6.1,0
29,42,60.9,6,0
29,42,61.2,5.9,0
29,42,60.9,5.9,0
30,42,61.1,6,0
30,42,60.9,6,0
29,42,60.3,5.9,0
30,41,60,5.8,0
29,41,60,5.7,0
30,41,59.9,5.6,0
30,41,59.5,5.5,0
30,41,59.8,5.5,0
30,41,60,5.4,0
30,41,59.4,5.3,0
30,41,59.3,5.2,0
30,41,59.2,5.3,0
30,41,61.5,6,0
30,41,61.6,6.2,0
30,41,62,6.6,0
31,43,63.8,7.5,0
32,41,80.1,9.7,0
32,40,81.4,9.7,0
27,46,17.3,5.9,0
27,46,17.4,5.9,0
27,46,17.1,5.8,0
27,46,17.1,5.9,0
27,46,17.3,5.9,0
27,46,17.2,5.9,0
27,46,18.3,5.9,0
27,46,18.3,5.9,0
27,46,18.2,5.9,0
27,46,18.1,5.9,0
27,46,18.2,5.9,0
27,46,18.1,5.9,0
27,46,18.1,5.9,0
32,40,87.3,11.7,1
32,40,91.4,11.9,1
32,40,97.3,14.1,1
32,40,100.3,14.6,1
32,40,106.2,17,1
32,41,109.6,17.2,1
32,41,112.6,17.8,1
32,41,116.8,18.9,1
32,41,120.4,18.9,1
33,42,123.2,19.8,1
33,41,124.3,20.1,1
33,41,127.2,20.6,1
33,41,128.7,21.1,1
33,41,131.5,21.9,1
33,41,133.3,22.7,1
33,41,134,23.1,1
33,41,136.8,24.3,1
33,41,136.8,24,1
33,41,137.2,24.2,1
33,41,139.1,24.8,1
33,41,140.4,25.3,1
34,42,149.4,33,1
34,42,152,33.3,1
34,41,151.6,33.6,1
35,41,151.2,33.9,1
35,40,153.4,34.5,1
36,41,138.5,34.2,1
36,41,153.1,35.7,1
36,40,139.1,34.9,1
36,40,139.1,34.9,1
36,40,138.8,36.1,1
36,41,139.4,36.8,1
37,41,139.4,37.7,1
32,33,140.1,34.6,1
32,34,140.4,34.6,1
32,34,140.1,34.6,1
32,34,139.8,34.5,1
32,34,139.4,34.4,1
32,34,138.1,34.2,1
31,34,138.1,34,1
31,35,139.4,34.2,1
31,35,139.8,34.1,1
31,35,137.5,33.9,1
31,35,138.8,33.9,1
31,35,138.5,33.7,1
31,36,139.1,33.9,1
31,36,138.5,34,1
31,36,139.1,33.8,1
31,36,138.8,33.8,1
31,35,137.2,33.6,1
31,36,137.8,33.7,1
31,36,137.5,33.7,1
31,35,138.5,33.6,1
31,36,136.8,33.6,1
31,36,137.5,33.4,1
31,36,137.2,33.2,1
31,36,135.9,33,1
31,36,137.2,33.1,1
31,36,136.5,33.1,1
31,36,135.9,33,1
31,36,136.8,33,1
31,37,135.9,33,1
31,36,135.9,33,1
31,36,135.9,32.9,1
31,36,135.9,32.9,1
31,36,134.3,32.8,1
31,36,135.6,32.8,1
31,36,136.5,32.7,1
31,36,134.9,32.7,1
31,36,134.6,32.6,1
31,36,134,32.5,1
31,36,133.7,32.3,1
31,36,133.3,32.5,1
31,36,133.3,32.2,1
31,36,132.4,32.2,1
31,36,133.7,32.2,1
31,36,133.7,32.2,1
31,36,134,32.3,1
31,36,133.7,32.2,1
31,36,132.7,32.2,1
31,36,133.7,32.2,1
31,36,134.3,32.2,1
31,36,134.6,32.2,1
31,36,133.7,32,1
31,36,133.7,32.1,1
31,36,133.3,32.1,1
31,36,132.1,31.9,1
31,36,132.7,31.9,1
31,36,131.8,31.8,1
31,36,131.8,31.7,1
31,36,131.8,31.7,1
31,36,130.6,31.7,1
31,36,131.8,31.6,1
31,36,132.4,31.6,1
31,36,132.1,31.6,1
31,36,130.9,31.6,1
31,36,130.9,31.4,1
31,36,133.7,31.5,1
31,36,130.9,31.4,1
31,36,131.5,31.5,1
31,36,131.2,31.4,1
31,36,129.6,31.3,1
31,36,130.9,31.4,1
31,35,130.6,31.3,1
31,36,131.2,31.3,1
31,36,129.9,31.3,1
31,36,129.6,31.2,1
31,36,129.6,31.1,1
31,36,126.7,30.8,1
31,37,126.1,30.7,1
31,37,126.4,30.7,1
31,37,126.1,30.5,1
31,37,126.1,30.6,1
31,37,126.4,30.6,1
31,37,125.5,30.6,1
31,37,126.4,30.7,1
31,37,125.8,30.5,1
31,37,125.5,30.5,1
31,37,124.6,30.3,1
31,37,124.9,30.4,1
31,37,124.3,30.3,1
31,37,124,30.3,1
31,37,125.2,30.3,1
31,37,124.6,30.2,1
31,37,124.6,30.2,1
31,37,123.7,30.1,1
31,37,124.6,30.3,1
30,36,123.5,30.1,1
30,36,122.6,30,1
30,36,121.8,29.9,1
30,37,123.5,29.9,1
